name,loop_start_sec,loop_end_sec
SMB3_Athletic_Moon_Hurry,2.995062,28.619542
SMB3_Athletic_Moon,3.195417,33.945021
SMB3_Castle_Edit,9.582937,45.78525
SMB3_Castle,9.582937,45.78525
SMB3_Castle_Moon,9.582937,45.78525
SMB3_Desert_Edit,6.404292,57.604292
SMB3_GhostHouse_Edit,9.6,86.4
SMB3_GhostHouse,9.6,86.4
SMB3_GhostHouse_Hurry,2.956708,30.38525
SMB3_GhostHouse_Moon_Hurry,3.428458,30.857
SMB3_Haunted_Moon,9.6,86.4
SMB3_Otoasobi_Bonus,0.005533,8.524807
SMB3_Otoasobi_Boss,4.675102,20.649025
SMB3_Otoasobi_BossHurry,4.493651,18.870431
SMB3_Otoasobi_LastBoss,1.863604,46.589958
SMB3_Otoasobi_LastBossHurry,1.597375,27.155292
SMB3_Ground_Edit,6.4,57.6
SMB3_Ground,6.4,57.6
SMB3_Ground_Hurry,6.655896,27.954771
SMB3_Ground_Moon_Hurry,6.655896,27.954771
SMB3_Ground_Moon,6.400458,32.000458
SMB3_Shopping,12.802222,25.581293
SMB3_Snow_Edit,6.195396,43.697021
SMB3_Snow,6.195396,43.697021
SMB3_Snow_Hurry,7.091396,39.036708
SMB3_Snow_Moon_Hurry,7.091396,39.036708
SMB3_Snow_Moon,6.250375,43.752
SMB3_Underground_Hurry,15.958063,32.981208
SMB3_Underground_Moon_Hurry,15.960354,32.9835
SMB3_Underwater_Edit,5.356646,56.330125
SMB3_Underwater,5.356646,56.330125
SMB3_Underwater_Hurry,3.993708,27.955146
SMB3_Underwater_Moon_Hurry,3.993479,27.954917
SMB3_Underwater_Moon,5.311167,56.284646
SMB3_Woods_Edit,6.4,57.6
SMW_Airship_Edit,10.551813,98.551812
SMW_Airship,7.999958,95.999958
SMW_Airship_Hurry,5.999958,71.999938
SMW_Airship_Moon_Hurry,5.999958,71.999938
SMW_Airship_Moon,7.999958,95.999958
SMW_Athletic_Edit,1.51325,37.831021
SMW_Athletic,1.51325,37.831021
SMW_Athletic_Hurry,1.311479,32.786875
SMW_Athletic_Moon_Hurry,1.311479,32.786875
SMW_Athletic_Moon,1.51325,37.831021
SMW_Castle_Edit,76.765125,123.240875
SMW_Castle,76.747479,123.223229
SMW_Castle_Hurry,53.167708,85.812146
SMW_Castle_Moon_Hurry,53.167708,85.812146
SMW_Castle_Moon,76.747479,123.223229
SMW_Desert_Edit,7.2,64.8
SMW_Desert,4.8,62.4
SMW_Desert_Hurry,5.538458,49.846167
SMW_Desert_Moon_Hurry,5.538458,49.846167
SMW_Desert_Moon,4.8,62.4
SMW_GhostHouse_Edit,25.806146,108.386813
SMW_GhostHouse,25.806146,108.386813
SMW_GhostHouse_Hurry,16.842104,70.736833
SMW_GhostHouse_Moon_Hurry,16.842104,70.736833
SMW_GhostHouse_Moon,25.806438,108.387104
SMW_Otoasobi_Bonus,3.040688,33.232844
SMW_Otoasobi_BonusHurry,2.621719,28.768594
SMW_Otoasobi_Boss,2.1735,48.368156
SMW_Otoasobi_BossHurry,5.849406,44.506437
SMW_Otoasobi_LastBoss,2.820344,41.59425
SMW_Otoasobi_LastBossHurry,2.279906,35.694906
SMW_Otoasobi_LastBossIcon,3.1e-05,3.233594
SMW_Ground_Edit,11.580813,50.691896
SMW_Ground,11.580813,50.691896
SMW_Ground_Hurry,7.927062,41.136333
SMW_Ground_Moon_Hurry,7.927062,41.136333
SMW_Ground_Moon,19.556292,58.667375
SMW_Pswitch_hurry,14.738219,16.043875
SMW_Snow_Edit,3.695708,51.695708
SMW_Snow,3.692312,51.692312
SMW_Snow_Hurry,2.320417,42.580604
SMW_Snow_Moon_Hurry,2.320417,42.580604
SMW_Snow_Moon,3.692312,51.692312
SMW_Star_hurry,2.933094,5.871656
SMW_Switch,10.398719,11.930281
SMW_Underground_Edit,11.244625,49.431125
SMW_Underground,11.244625,49.431125
SMW_Underground_Hurry,8.785875,38.602167
SMW_Underground_Moon_Hurry,8.785875,38.602167
SMW_Underground_Moon,11.244625,49.431125
SMW_Underwater_Edit,7.786958,53.861938
SMW_Underwater,7.786958,53.861938
SMW_Underwater_Hurry,3.529271,42.161563
SMW_Underwater_Moon_Hurry,3.537583,42.169875
SMW_Underwater_Moon,7.792937,53.867917
SMW_Woods_Edit,6.564792,58.928417
SMW_Woods,4.363646,56.727271
SMW_Woods_Hurry,3.428562,44.571438
SMW_Woods_Moon_Hurry,3.428562,44.571438
SMW_Woods_Moon,4.363646,56.727271
NSMBU_Airship_Edit,12.521708,79.304333
NSMBU_Airship,12.521688,79.304312
NSMBU_Airship_Hurry,3.111479,60.000375
NSMBU_Airship_Moon_Hurry,3.111104,60.0
NSMBU_Airship_Moon,12.521729,79.304354
NSMBU_Athletic_Edit,3.870958,40.645146
NSMBU_Athletic,3.870958,40.645146
NSMBU_Athletic_Hurry,3.625479,34.2295
NSMBU_Athletic_Moon_Hurry,6.442938,37.046958
NSMBU_Athletic_Moon,7.741937,44.516125
NSMBU_Castle_Edit,17.479833,85.513083
NSMBU_Castle_Edit_Lesson,17.480313,85.513563
NSMBU_Castle,17.479833,85.513083
NSMBU_Castle_Hurry,4.28275,66.0025
NSMBU_Castle_Moon_Hurry,4.3155,66.03525
NSMBU_Castle_Moon,17.497729,85.530979
NSMBU_Desert_Edit,8.999542,61.363188
NSMBU_Desert,8.999542,61.363188
NSMBU_Desert_Hurry,15.684688,59.321062
NSMBU_Desert_Moon_Hurry,15.684688,59.321062
NSMBU_Desert_Moon,8.999542,61.363188
NSMBU_GhostHouse_Edit,12.487562,65.288438
NSMBU_GhostHouse_Edit_Lesson,9.6,62.400875
NSMBU_GhostHouse,12.487562,65.288438
NSMBU_GhostHouse_Hurry,7.993333,51.956708
NSMBU_GhostHouse_Moon_Hurry,7.993333,51.956708
NSMBU_GhostHouse_Moon,12.487562,65.288438
NSMBU_Otoasobi_Bonus,1.548844,29.419656
NSMBU_Otoasobi_BonusHurry,2.947938,27.919062
NSMBU_Otoasobi_Boss,8.76225,76.079281
NSMBU_Otoasobi_BossHurry,7.403344,64.309125
NSMBU_Otoasobi_LastBoss,10.164833,51.455167
NSMBU_Otoasobi_LastBossHurry,9.465833,43.751521
NSMBU_Ground_Edit,4.363625,45.818146
NSMBU_Ground_Edit_Lesson,4.363542,45.818063
NSMBU_Ground,4.363625,45.818146
NSMBU_Ground_Hurry,4.889,39.434438
NSMBU_Ground_Moon_Hurry,4.889,39.434438
NSMBU_Ground_Moon,4.363625,45.818146
NSMBU_STAR,3.358094,10.071625
NSMBU_STAR_HURRY,0.017812,5.9265
NSMBU_Snow_Edit,5.454521,46.909083
NSMBU_Snow,5.454521,46.909083
NSMBU_Snow_Hurry,4.887187,39.432583
NSMBU_Snow_Moon_Hurry,4.887187,39.432583
NSMBU_Snow_Moon,5.454521,46.909083
NSMBU_Underground_Edit,9.896896,69.278333
NSMBU_Underground,9.896896,69.278333
NSMBU_Underground_Hurry,4.137937,53.793104
NSMBU_Underground_Moon_Hurry,4.137937,53.793104
NSMBU_Underground_Moon,9.896896,69.278333
NSMBU_Underwater_Edit,11.550875,88.556146
NSMBU_Underwater_Edit_Lesson,11.550812,88.556083
NSMBU_Underwater,11.550854,88.556125
NSMBU_Underwater_Hurry,14.048521,49.155104
NSMBU_Underwater_Moon_Hurry,14.048521,49.155104
NSMBU_Underwater_Moon,11.550854,88.556125
NSMBU_Woods_Edit,4.265146,64.265125
NSMBU_Woods,4.265146,64.265125
NSMBU_Woods_Moon,4.265146,64.265125
